,country,education_level,mean,median
0,Australia/New Zealand,College degree,100451.58149779735,93000.0
1,Australia/New Zealand,High School,103028.12,85000.0
2,Australia/New Zealand,Master's degree,114758.24812030075,100000.0
3,Australia/New Zealand,PhD,109479.92307692308,107000.0
4,Australia/New Zealand,"Professional degree (MD, JD, etc.)",147287.5,121500.0
5,Australia/New Zealand,Some college,90047.53333333334,85000.0
6,Australia/New Zealand,Unknown,81104.33333333333,90000.0
7,Canada,College degree,80154.59672131148,72000.0
8,Canada,High School,71171.13953488372,62500.0
9,Canada,Master's degree,87375.38107416879,82000.0
10,Canada,PhD,105218.25974025975,102000.0
11,Canada,"Professional degree (MD, JD, etc.)",106365.73015873016,95000.0
12,Canada,Some college,67968.13772455089,60130.0
13,Canada,Unknown,90055.6875,68500.0
14,European Union,College degree,64768.065868263475,55000.0
15,European Union,High School,82976.66666666667,68500.0
16,European Union,Master's degree,58595.26421404682,51420.0
17,European Union,PhD,64018.58490566038,65000.0
18,European Union,"Professional degree (MD, JD, etc.)",63949.76,56721.0
19,European Union,Some college,52297.269230769234,45000.0
20,European Union,Unknown,54988.5,60500.0
21,Hong Kong,College degree,360000.0,360000.0
22,Hong Kong,High School,300000.0,300000.0
23,Hong Kong,Master's degree,623500.0,623500.0
24,Japan,College degree,27500.0,27500.0
25,Japan,"Professional degree (MD, JD, etc.)",1150000.0,1150000.0
26,Other,College degree,347273.115942029,186000.0
27,Other,High School,254655.77777777778,86000.0
28,Other,Master's degree,467425.55555555556,375000.0
29,Other,PhD,393700.0,342500.0
30,Other,"Professional degree (MD, JD, etc.)",390875.0,197500.0
31,Other,Some college,330956.0,130000.0
32,Other,Unknown,411250.0,395000.0
33,South Africa,College degree,535600.0,543000.0
34,South Africa,High School,120000.0,120000.0
35,South Africa,Master's degree,818000.0,818000.0
36,South Africa,PhD,1050000.0,1050000.0
37,South Africa,"Professional degree (MD, JD, etc.)",974400.0,974400.0
38,South Africa,Some college,723333.3333333334,804000.0
39,South Africa,Unknown,15025.0,15025.0
40,Sweden,College degree,528800.0,438000.0
41,Sweden,High School,496000.0,496000.0
42,Sweden,Master's degree,500040.0,480000.0
43,Sweden,PhD,624766.6666666666,572500.0
44,Sweden,"Professional degree (MD, JD, etc.)",411700.0,411700.0
45,Sweden,Some college,499200.0,503400.0
46,Sweden,Unknown,379470.0,379470.0
47,Switzerland,College degree,129155.55555555556,105000.0
48,Switzerland,Master's degree,92565.71428571429,83250.0
49,Switzerland,PhD,200454.54545454544,115000.0
50,Switzerland,"Professional degree (MD, JD, etc.)",75000.0,75000.0
51,Switzerland,Some college,82500.0,82500.0
52,United Kingdom,College degree,49604.99865771812,40000.0
53,United Kingdom,High School,48728.88888888889,37250.0
54,United Kingdom,Master's degree,49954.58944954129,41000.0
55,United Kingdom,PhD,51713.27927927928,42600.0
56,United Kingdom,"Professional degree (MD, JD, etc.)",62730.67741935484,50000.0
57,United Kingdom,Some college,45083.188976377955,32000.0
58,United Kingdom,Unknown,45912.7,35800.0
59,United States,College degree,86756.82927043915,75000.0
60,United States,High School,73350.09927360775,56000.0
61,United States,Master's degree,91864.60371845949,80000.0
62,United States,PhD,110721.19593998235,97000.0
63,United States,"Professional degree (MD, JD, etc.)",140538.59226713533,120000.0
64,United States,Some college,77623.23444108761,62500.0
65,United States,Unknown,94207.14935064936,75000.0
